nombre,email,password,rol,estado,cupo_total,cupo_disponible,cupo_usado,veces_cupo_completo,compras_completadas
Alejandro Gómez,alejandro.gomez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Sofía Rodríguez,sofia.rodriguez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Carlos Martínez,carlos.martinez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Laura Pérez,laura.perez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Juan López,juan.lopez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
María García,maria.garcia@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,rechazado,100000.00,100000.00,0.00,0,0
Diego Fernández,diego.fernandez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Ana Sánchez,ana.sanchez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Luis Ramírez,luis.ramirez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Elena Torres,elena.torres@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,pendiente,100000.00,100000.00,0.00,0,0
Javier Díaz,javier.diaz@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
